"Order number","Order date","Product name",Category,quantity,"Total price","Customer name","Customer contact","Customer address","Employee full name","Employee birthday","Supplier name","Suplier phone","Sipper name","Shipper phone"
10308,1996-09-18,Gudbrandsdalsost,"Dairy Products",1,36,"Ana Trujillo Emparedados y helados","Ana Trujillo","Avda. de la Constitucion 2222","Robert King",1960-05-29,"Norske Meierier",(0)2-953010,"Federal Shipping","(503) 555-9931"
10308,1996-09-18,"Outback Lager",Beverages,5,75,"Ana Trujillo Emparedados y helados","Ana Trujillo","Avda. de la Constitucion 2222","Robert King",1960-05-29,"Pavlova, Ltd.","(03) 444-2343","Federal Shipping","(503) 555-9931"
10365,1996-11-27,"Queso Cabrales","Dairy Products",24,504,"Antonio Moreno Taqueria","Antonio Moreno","Mataderos 2312","Janet Leverling",1963-08-30,"Cooperativa de Quesos Las Cabras","(98) 598 76 54","United Package","(503) 555-3199"
10383,1996-12-16,"Gnocchi di nonna Alice",Grains/Cereals,20,760,"Around the Horn","Thomas Hardy","120 Hanover Sq.","Laura Callahan",1958-01-09,"Pasta Buttini s.r.l.","(089) 6547665","Federal Shipping","(503) 555-9931"
10355,1996-11-15,"Ravioli Angelo",Grains/Cereals,25,487.5,"Around the Horn","Thomas Hardy","120 Hanover Sq.","Michael Suyama",1963-07-02,"Pasta Buttini s.r.l.","(089) 6547665","Speedy Express","(503) 555-9831"
10383,1996-12-16,"Valkoinen suklaa",Confections,15,243.75,"Around the Horn","Thomas Hardy","120 Hanover Sq.","Laura Callahan",1958-01-09,"Karkki Oy","(953) 10956","Federal Shipping","(503) 555-9931"
10355,1996-11-15,"Guarana Fantastica",Beverages,25,112.5,"Around the Horn","Thomas Hardy","120 Hanover Sq.","Michael Suyama",1963-07-02,"Refrescos Americanas LTDA","(11) 555 4640","Speedy Express","(503) 555-9831"
10383,1996-12-16,Konbu,Seafood,20,120,"Around the Horn","Thomas Hardy","120 Hanover Sq.","Laura Callahan",1958-01-09,Mayumis,"(06) 431-7877","Federal Shipping","(503) 555-9931"
10280,1996-08-14,"Rhonbrau Klosterbier",Beverages,30,232.5,"Berglunds snabbkop","Christina Berglund","Berguvsvagen 8","Andrew Fuller",1952-02-19,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755","Speedy Express","(503) 555-9831"
10278,1996-08-12,"Rod Kaviar",Seafood,25,375,"Berglunds snabbkop","Christina Berglund","Berguvsvagen 8","Laura Callahan",1958-01-09,"Svensk Sjofoda AB","08-123 45 67","United Package","(503) 555-3199"
